timestamp,region,pm25,temperature,humidity
2025-02-05T16:30:00.000Z,US Diplomatic Post: New Delhi-8118,135.0,23.08,51.19
2025-02-05T19:30:00.000Z,US Diplomatic Post: New Delhi-8118,131.0,22.44,51.89
2025-02-05T23:30:00.000Z,US Diplomatic Post: New Delhi-8118,132.0,29.85,51.87
2025-02-06T03:30:00.000Z,US Diplomatic Post: New Delhi-8118,126.0,29.89,45.64
2025-02-06T07:30:00.000Z,US Diplomatic Post: New Delhi-8118,46.0,34.91,41.08
2025-02-06T11:30:00.000Z,US Diplomatic Post: New Delhi-8118,39.0,31.84,61.81
